epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,196.81,1.45597,2.83824,1.24226,0.55029,0.09829,0.06909,0.04627,1.26777,1.97799,1.14939,0.00998811,0.00332937,0.00998811,0.00332937,0.00998811,0.00332937,0.00998811,0.00332937
2,378.027,1.42082,2.18868,1.19509,0.44307,0.11212,0.06765,0.04414,1.33514,2.07053,1.16857,0.0199221,0.00664072,0.0199221,0.00664072,0.0199221,0.00664072,0.0199221,0.00664072
3,556.527,1.49262,2.27568,1.21957,0.35911,0.0915,0.05821,0.03649,1.41836,2.32201,1.21252,0.0297902,0.00993006,0.0297902,0.00993006,0.0297902,0.00993006,0.0297902,0.00993006
4,733.094,1.55356,2.33263,1.2547,0.45381,0.10072,0.06633,0.04238,1.41368,2.14065,1.212,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,910.357,1.54149,2.24259,1.24279,0.39433,0.10111,0.07021,0.04506,1.3947,2.08391,1.20787,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1086.71,1.50394,2.15197,1.2323,0.41164,0.12245,0.08757,0.05731,1.35815,1.9884,1.19095,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1264.31,1.4923,2.10465,1.22003,0.43269,0.1113,0.08255,0.05442,1.36395,1.99779,1.18334,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1441.13,1.47716,2.04109,1.21139,0.39412,0.12444,0.09277,0.06146,1.33285,1.91565,1.17846,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1617.13,1.46597,1.98854,1.20618,0.41495,0.13389,0.09769,0.06484,1.31254,1.82925,1.1668,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1792.61,1.45063,1.98936,1.1956,0.38593,0.13979,0.10513,0.07026,1.30497,1.81461,1.16583,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1969.26,1.43278,1.91859,1.19385,0.47799,0.14162,0.10533,0.07049,1.302,1.83661,1.16198,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,2145.18,1.40627,1.90116,1.1843,0.42564,0.14598,0.10469,0.06992,1.28295,1.81451,1.15884,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2321.08,1.41728,1.86345,1.18125,0.36971,0.14512,0.10488,0.07117,1.29293,1.82756,1.15034,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,2497.28,1.41105,1.83466,1.17363,0.38275,0.14183,0.11591,0.07836,1.27445,1.75375,1.1444,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,2673.16,1.39013,1.8029,1.16544,0.35613,0.16503,0.12639,0.08607,1.26477,1.71587,1.1456,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,2848.71,1.37709,1.77226,1.16524,0.41359,0.15123,0.11145,0.07508,1.26489,1.7821,1.1435,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,3024.66,1.37865,1.73934,1.15823,0.44016,0.16567,0.13677,0.09256,1.25036,1.69064,1.13301,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,3200.01,1.36646,1.73481,1.161,0.41079,0.16196,0.12883,0.08715,1.25752,1.69731,1.14008,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,3375.65,1.36587,1.70482,1.15664,0.45019,0.15416,0.1332,0.08937,1.24796,1.69191,1.13358,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,3551.13,1.34725,1.68946,1.14996,0.42084,0.16083,0.12872,0.0872,1.24362,1.66843,1.13686,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,3726.3,1.33535,1.61441,1.14303,0.47488,0.1585,0.13194,0.09008,1.23489,1.68876,1.13162,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,3901.14,1.33937,1.65152,1.14775,0.43758,0.18056,0.14063,0.09588,1.22829,1.63606,1.12258,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,4076.43,1.33569,1.62445,1.14223,0.36379,0.18706,0.14548,0.10157,1.22225,1.63773,1.11965,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,4251.57,1.33107,1.61108,1.1424,0.40313,0.18647,0.15324,0.10391,1.21363,1.60432,1.11859,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,4426.52,1.33443,1.59496,1.13963,0.47027,0.17797,0.14938,0.10318,1.22243,1.63048,1.12142,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,4602.24,1.32723,1.56534,1.13664,0.40418,0.18679,0.14633,0.10069,1.20507,1.62613,1.11477,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,4777.28,1.32239,1.56424,1.13445,0.40215,0.17123,0.15211,0.10503,1.21463,1.63079,1.1142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,4952.89,1.32955,1.5363,1.13524,0.37271,0.20492,0.168,0.11555,1.21913,1.60745,1.11824,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,5128.27,1.3229,1.53503,1.12783,0.3766,0.17935,0.14523,0.09917,1.20802,1.61075,1.11428,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,5303.18,1.30782,1.50745,1.12452,0.39949,0.18085,0.157,0.10978,1.19872,1.5786,1.11303,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,5478.27,1.29857,1.50246,1.12502,0.32786,0.20762,0.16451,0.11436,1.20229,1.57089,1.11373,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,5653.54,1.3014,1.49278,1.12085,0.38487,0.19524,0.15996,0.11118,1.19837,1.57073,1.11036,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,5828.5,1.29799,1.47448,1.12153,0.4398,0.17609,0.16145,0.1121,1.18821,1.56029,1.10652,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,6003.29,1.29649,1.44547,1.11641,0.36548,0.19966,0.16798,0.11578,1.19221,1.57335,1.10506,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,6177.87,1.28958,1.43283,1.12193,0.35872,0.19791,0.15871,0.10935,1.19312,1.56605,1.10518,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,6352.95,1.29307,1.43708,1.11718,0.38009,0.20198,0.16624,0.11557,1.18726,1.5492,1.10239,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,6527.84,1.296,1.41935,1.11567,0.35622,0.20487,0.17678,0.12178,1.18167,1.51772,1.10272,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,6702.52,1.28604,1.39761,1.11533,0.3841,0.20054,0.17471,0.12046,1.1855,1.54654,1.10333,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,6877.29,1.28871,1.40199,1.11636,0.29233,0.21794,0.18295,0.12676,1.18384,1.54269,1.10434,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,7052.11,1.26947,1.37895,1.11285,0.35702,0.21279,0.16903,0.11622,1.17509,1.54482,1.09871,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,7226.99,1.27175,1.37518,1.10865,0.35334,0.21972,0.18419,0.1282,1.1793,1.52569,1.09653,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,7402.39,1.27596,1.35697,1.10509,0.34875,0.20329,0.17758,0.12417,1.17529,1.5393,1.10004,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,7577.41,1.27706,1.36332,1.10714,0.33834,0.22687,0.17765,0.12257,1.1736,1.54015,1.09699,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,7752.28,1.25876,1.33428,1.10088,0.37446,0.20343,0.17824,0.12347,1.17617,1.53216,1.09713,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,7926.99,1.26112,1.33246,1.10452,0.31368,0.22013,0.18459,0.12856,1.17015,1.52106,1.09482,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,8102.4,1.26757,1.3316,1.10386,0.3744,0.20657,0.18117,0.1261,1.16965,1.52856,1.09437,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,8277.21,1.26417,1.30899,1.09779,0.3918,0.18269,0.17986,0.12581,1.17065,1.51765,1.09463,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,8452.46,1.26013,1.30075,1.10101,0.34493,0.19914,0.18308,0.12793,1.16718,1.50795,1.09271,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,8627.23,1.25172,1.28112,1.09702,0.36315,0.20214,0.18347,0.12755,1.16495,1.51832,1.09235,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,8802.7,1.25507,1.28556,1.09656,0.31623,0.21549,0.18007,0.12399,1.16353,1.52697,1.09033,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,8978.07,1.26215,1.26781,1.09925,0.27063,0.20983,0.18241,0.12759,1.16535,1.50202,1.09115,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,9153.3,1.24376,1.25998,1.09213,0.3024,0.2133,0.18496,0.12944,1.15765,1.49476,1.08717,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,9328.23,1.24056,1.24604,1.09,0.31781,0.20946,0.18921,0.13325,1.1584,1.50562,1.08846,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,9503.8,1.25122,1.2539,1.09155,0.34773,0.21332,0.18925,0.13254,1.16049,1.50118,1.09127,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,9678.48,1.22639,1.22552,1.08903,0.353,0.21432,0.19375,0.13547,1.15433,1.48674,1.08718,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,9853.59,1.22875,1.23678,1.08823,0.35402,0.21434,0.18022,0.12668,1.15836,1.52051,1.08873,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,10028.2,1.24072,1.23006,1.08983,0.31399,0.22503,0.19134,0.13502,1.1537,1.49044,1.08402,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,10203.7,1.24029,1.20573,1.08391,0.32052,0.23058,0.20351,0.14451,1.14935,1.474,1.08479,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,10378.1,1.22592,1.21406,1.08587,0.40592,0.22741,0.19689,0.13907,1.15137,1.47536,1.08395,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,10552.9,1.22442,1.19146,1.08271,0.33903,0.2178,0.19293,0.13525,1.15381,1.48921,1.08582,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,10727.7,1.21744,1.18269,1.08289,0.31026,0.20587,0.18135,0.12707,1.15086,1.49207,1.08551,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,10902.9,1.22938,1.17745,1.08105,0.32594,0.23039,0.19574,0.13788,1.15333,1.48433,1.08646,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
