epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1300.58,1.79935,1.87974,1.13564,0.33623,0.10468,0.08002,0.04717,1.65853,1.76729,1.11179,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1339.27,1.78818,1.86025,1.13158,0.3375,0.11956,0.08302,0.04883,1.65016,1.72054,1.1107,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1378.28,1.77118,1.84483,1.12698,0.27544,0.11002,0.07428,0.04346,1.64597,1.77064,1.1104,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1416.91,1.76758,1.83708,1.12862,0.34687,0.11248,0.08756,0.05242,1.64311,1.7191,1.10261,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1455.5,1.74682,1.82032,1.12388,0.26838,0.12409,0.08853,0.05386,1.64129,1.71341,1.10967,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1494.26,1.75148,1.81176,1.12094,0.30452,0.11928,0.08724,0.05162,1.6407,1.7138,1.10221,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1532.93,1.75845,1.78941,1.12257,0.30249,0.11904,0.08724,0.05308,1.62417,1.69864,1.1035,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1571.74,1.75531,1.78575,1.1198,0.31943,0.11926,0.08808,0.05198,1.6315,1.70526,1.10082,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1610.45,1.73248,1.77843,1.11741,0.31318,0.12438,0.09292,0.05548,1.62144,1.69105,1.10333,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1649.25,1.76334,1.76108,1.11642,0.29544,0.12485,0.08821,0.05199,1.6144,1.68654,1.10093,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1688.23,1.74847,1.76935,1.11305,0.28885,0.13023,0.09479,0.05742,1.61273,1.66868,1.09947,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1728.14,1.75211,1.77327,1.11636,0.29078,0.12379,0.09097,0.05422,1.61749,1.68183,1.10549,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1768.34,1.75144,1.75568,1.11538,0.29173,0.12039,0.09464,0.05788,1.60553,1.69962,1.09672,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1807.66,1.72266,1.73743,1.10898,0.31019,0.12452,0.09655,0.05758,1.60197,1.67515,1.09521,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
